Hour of day,Net sales,Total orders,Total guests
22,74203.31,3195,4820
23,22264.30,1280,1646
20,331116.32,7836,13853
21,175971.13,5842,9778
18,656825.96,11628,23250
19,513951.17,10012,19634
16,352878.81,8679,14214
17,501269.34,10140,19073
14,196053.80,5022,8053
15,240278.98,6124,9932
12,281400.06,6866,13869
13,221413.86,5735,9587
11,142625.51,3527,8536
10,1177.37,85,101
0,3894.40,237,329
9,40.7,9,9
1,278.34,27,29
2,25.5,3,3
