Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,309607.12,16736,18.50,11928,30.21,16235,19.07,101.97
Table Service,3406061.74,139980,24.33,94507,38.82,70012,48.65,73.06
Total,3715668.86,156716,23.71,106435,37.86,86247,43.08,78.50
