Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dinner,57332,2606173.29,151035.45,359.67,2757562.69,201270.89
No Service,1641,27657.61,5365.79,25.3,33046.4,2397.81
Lunch,27274,1081837.96,49004.57,130.21,1130972.74,80258.75
Total,86247,3715668.86,205405.81,515.18,3921581.83,283927.45
