Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
No Revenue Center,449244.17,3751281.37,206279.7,507.16,3958068.23,286690.87
Total,449244.17,3751281.37,206279.7,507.16,3958068.23,286690.87
