MENU_ITEM_NAME,SUB_ITEM_QUANTITY
NO BAILEYS,2.00
NO BBQ SAUCE SUB QUESO,2.00
NO BREAD,2.00
NO BUTTER ON BUN,2.00
NO CHAR ON BURGER,2.00
NO CHEESE!!!,2.00
NO CHIPS SALSA SUB BRUSSELS,2.00
NO CHIPS SUB COLESLAW,2.00
NO CHIPS SUB GARLIC FRIES,2.00
NO CHIPS SUB TAP SALAD,2.00
NO GARDEN OR BACON,2.00
NO ICE CREAM,2.00
NO MAKE WHOLE TICKET,2.00
NO MAKE!!,2.00
NO MAKR,2.00
NO MEAT,2.00
NO ONIONS,2.00
NO PARMIGIANO,2.00
NO PEPPERONI SUB HAM,2.00
NO PEPPERS,2.00
NO PICKLED RED ONION,2.00
NO PORK,2.00
NO PORK SUB STEAK,2.00
NO QUESO,2.00
NO RANCH,2.00
NO RANCH OR BC,2.00
NO RANCH SUB MARINARA,2.00
NO RASPBERRY,2.00
NO SALT ON FRIES,2.00
NO SALT PEPPER ON FRIES,2.00
"NO SEASONING ON THE BURG OR FRIES, CRINKLE CUT",1.00
NO SOUR NO COKE,2.00
NO SPICE,2.00
NO TOTS SUB SWEET POTATO FRIES,2.00
NOOO MAKE,2.00
Nacho Setup,2.00
Nash Hot On Wings,2.00
Nashville Hot On Sde,1.00
Nashville Hot On Side,2.00
Nashville Hot Onside,2.00
Ni Make,2.00
"No Agave, No Triple Sec, Salt Rim",2.00
No Aoli,2.00
No Asian Chili Crisp Sauce,2.00
No Balsamic 2Tb,2.00
No Basil Sub Mint,2.00
No Bbq,2.00
No Beef Sub Imposible Protien,1.00
No Bitters,2.00
No Blackened,2.00
No Bleu Cheese,2.00
No Boom Boom,2.00
No Bun Bed Of Lettuce,2.00
"No Bun, Sub Lettuce",2.00
No Bun- Sub Romaine,1.00
No Butter No Cheese,2.00
No Butter On Bun!!!!,2.00
No Butter\\allergy,2.00
No Caramel,2.00
No Cayenne,2.00
No Cheddar Sub Pepper Jack,2.00
No Cheddar Sub Pepperjack,2.00
No Cheese At All,2.00
No Cheese No Bacon,2.00
No Cheese No Butter,2.00
No Cheese On Brussels,2.00
No Cheese!!,2.00
No Cheese!!!,2.00
No Cheese!!!!,2.00
No Cheese!!!!!,2.00
No Cherry Extra Organe Peel,2.00
"No Chips & Salsa, Sub Buffalo Califlower",2.00
"No Chips & Salsa, Sub Coleslaw",2.00
"No Chips & Salsa, Sub For Tots",2.00
No Chips And Salsa Extra Taco,2.00
No Chips And Salsa. Sub Coleslaw,2.00
No Chips Salsa SUB FRIES,2.00
"No Chips Salsa, SUB COLESLAW",2.00
"No Chips Salsa, Sub Fries",2.00
"No Chips Salsa, Sub Tots",2.00
No Chips Sub Buffalo Cauliflower,2.00
No Chips Sub Extra Taco,2.00
No Chips Sub Gilroy Fries,2.00
No Chips Sub Sweet Potato Fries,2.00
No Chips Sub Tater Tots,2.00
No Chips!!!,2.00
No Chips. Sub Caesar Salad,2.00
No Chips. Sub Fries,2.00
No Chips. Sub Side Caesar,2.00
No Chips. Sub Tap Salad With Balsamic,2.00
"No ChipsSalsa, Sub Tots",2.00
No Chocolate,2.00
No Club Soda,2.00
No Cod Sub Shrimp,2.00
No Cojita,2.00
No Coke Sub Cranberry Juice,2.00
No Crouton,2.00
No Fries Sub Cesar Salad,2.00
No Fries Sub Cheese Curds,2.00
No Fries Sub Chips And Salsa,2.00
No Fries Sub Tots,2.00
No Garden On Burger,2.00
No Garlic Butter,2.00
No Ginger Beer Sub Sprite,2.00
No Glass,2.00
No Green Onion,2.00
No Guac,2.00
No Ham Or Pineapple On Half Please,1.00
No Homefries. Sub Onion Rings,2.00
No Ice But Leave Room For Ice,2.00
No Ice Extra Juice,2.00
No Icecream,2.00
No Italian Sausage,2.00
No Jala,2.00
No KSP Seasoning*,2.00
No Ketchup Sub Ranch,2.00
No Liquor Extra Mint,2.00
No Maje,2.00
No Make !!!,2.00
No Make!!!!,2.00
No Makr,2.00
No Marinara Sauce,2.00
No Mayo Sub Cowboy Sauce,2.00
No Mezcal Sub Tequila,2.00
No Mush,2.00
No Mushies,2.00
No Mushroo,2.00
No Oions,2.00
No Peperoni,2.00
No Pepperoni SUB HAM,2.00
No Pepperoni Sub Ham,2.00
No Pepperoni!!!!!!!!,2.00
"No Pepperoni, Sub Ham",2.00
No Pepperoni\extra Sausage,2.00
No Pepperoni\xtra Sausage,2.00
No Pickle Add Japs And Onion,2.00
No Pink,2.00
No Pizza Sauce,2.00
No Poblano Sub Korean BBQ,2.00
No Pork\sub Brisket,2.00
No Protien,2.00
No Ranch Or BC Or Ketchup,2.00
No Ranch Or Bkue Cheese,2.00
No Ranch Or Bleu Chz,2.00
No Ranch Or Blu Chz,2.00
No Ras,2.00
No Rasb,2.00
No Rasp,2.00
No S&p On Tots,2.00
No Salt And Pep,2.00
No Salt No Mustard,2.00
No Sauage,2.00
No Sauce On Side,2.00
No Sauces,2.00
No Sausage!!!!!!!,2.00
No Seasoning Fries,2.00
No Seasoning On Chicken,2.00
"No Simple, No Sugar",2.00
No Slaw Sub Extra Fries,2.00
"No Smoke, Light Simple Syrup",2.00
No Spicy Extra Olives,2.00
No Strawberry Coconut,2.00
"No Sugar, Add Salt Rim",2.00
No Sweet,2.00
No Sweet Heat,2.00
No Sweet Heat Sub Baby Rays,2.00
No Szning On Fries,2.00
No Tajin Sub Salt,2.00
No Teremana Sub Titos,2.00
No Tomato Add Bbqsauce,2.00
No Tomato Sauce Add Bbq Sauce Please,2.00
No Tomatoes,2.00
No Toppings,2.00
No Tort Chips Sub Fries,2.00
No Vodka,2.00
No Vodka Sub Lunazul,2.00
No Watermelon,2.00
No Wrap Just Put It All In A Bowl,2.00
No coleslaw,2.00
No salt on fries,2.00
Noside,2.00
Not Chilled,2.00
Not Pin Add Blackberry,2.00
Not Smoked!!!!!!!,2.00
Not Too Crispy,2.00
Nothing On The Side,2.00
OLD FASHIONED SMOKEX,2.00
ON THE FLY,2.00
ONE BIG CUBE,2.00
ONE ROCK,2.00
ONLY BACON AND CHEESE,2.00
ONLY BACON CHEESE AND PATTY,2.00
ONLY CHEESE AND BACON,2.00
ONLY CHEESE AND PATTY,2.00
ONLY CHICKEN & QUESO,2.00
ONLY MEAT & BREAD,2.00
ONLY SOUR CREAM ON THE SIDE,2.00
ONLY TOSS HALF,2.00
ONLYSOUR CREAM ON THE SIDE,2.00
ORANGE,2.00
Obly Cowboy And Brisk,2.00
Of,2.00
Ol'e Fashion,2.00
Old Fashion Not Smoked,2.00
Old Fashion Not Smoked!!!!!,2.00
Old Fashione,2.00
Old Fashioned Add Grand Marinier,2.00
Old Fashioned D,2.00
Old Fashionn,2.00
Old Fashui,2.00
Old Fasi,2.00
Olive Garnish,2.00
Olive Garnish If You Have It Pls,2.00
Olives On The Side,2.00
On Rock,2.00
On Rocks,2.00
On Salad,2.00
On Side Buffalo Sauce,2.00
On Side Korean Bbq,2.00
On Side Nash Hot,2.00
On Side Onions,2.00
On Side Ranch,2.00
On Side Sauce,2.00
On Side With Burger,2.00
On The Couch,2.00
On The Top .5 Blue Curacao And.5 Raspberry,2.00
On ice,2.00
One Big Ice Cube,2.00
One Corn One Flour Tortilla,2.00
One Flour,2.00
One Flour One Corn,2.00
One Rock,2.00
One Side Salt Rim,2.00
Onion,2.00
Onion And Cilantro Inside,2.00
Onion Cilantro Is OK,2.00
Onion Cilantro Mix On Sd,2.00
Onion Cilantro Mix On Side,2.00
Onion On Half,2.00
Onion Ring On Side,2.00
Onion Ring On The Side,2.00
Onion on the side,2.00
Only Cheddar Cheese,2.00
Only Cheese & Bacon,2.00
Only Cheese And Bacon,2.00
Only Cheese And Bread,1.00
"Only Cheese, Chicken, Pablano",2.00
Only Chicken And Cheese,2.00
"Only Chicken, Bacon, & Cheese",2.00
Only Meat And Cheese,2.00
Only Pickles & Cheese,2.00
Only Queso,2.00
Only Queso & Chicken,2.00
Only Splash Of Sprite,2.00
Only TWO ice Cubes,2.00
Orange Can,2.00
Orange Slice And Lime,4.00
Otr,2.00
Over Ice,2.00
Oz Of Lime Juice,2.00
P. Pear,2.00
PATEL,2.00
PEANUT ALLERGY***,2.00
PEAR WITH SUGAR RIM,2.00
PICKLES ON SIDE,2.00
PINT GLASS !,2.00
PINT GLASS MIX IN TAJIN,2.00
PLEASE PUT IN LARGE BOWL NOT BASKET,2.00
PUT IN WRAP,2.00
Parrot Bay Rum,2.00
Passion F,2.00
Passion Fruit Margarita,2.00
Passionfruit And Mango,2.00
Passionfruit Plssss <3 Ily Kween <3 Never Change <3,2.00
Passionfruit Raspberry,2.00
Patio Service Window,2.00
Patriot Punch,2.00
Patty And Cheese Only,2.00
Peach Lem Drop,2.00
Peach Marg/ No Rim,2.00
Peach/Apple Flavors,3.00
Pear Martini,2.00
Pear Syrup,2.00
Peppers,2.00
Period,2.00
Philly,2.00
Pickkes On Side,2.00
Pickle Back :P ;),2.00
Pickle Juice Lots Of Pickle,2.00
Pickle On Side,2.00
PickleBacks,8.00
Pickleback!!!!!,2.00
Pickled Onions,2.00
Pina Colada,2.00
Pineapple Chipotle,2.00
Pineapple Guava,2.00
Pineapple!!!!!!!!!,2.00
Pineapplel Juice,2.00
Pineapplemoramge,2.00
Pinkity Drinkity,2.00
Pinneaple,2.00
Pint  Glass,2.00
Pint Glass With Ice,2.00
"Pint Glass, Soda Water. Lemon Lime",2.00
Pintnglass,2.00
Pizza Pretzel,2.00
Plain!,2.00
Plash Of Cran,2.00
Plastic Glass,2.00
"Pls, Love You",2.00
Poison Ivy,2.00
Price Fix,2.00
Prickley Pear,2.00
Prickly Pear!,2.00
"Promo, Take Off",2.00
Put Cheese And Dressing On Side,2.00
Put In Rocks Glass,2.00
Queso And Shredded Cheese Fries,2.00
Queso And Steak Only,2.00
Queso On Fries Please,2.00
RANCH,2.00
RANCH ON SD,2.00
RAPTORUS,2.00
REPO RITA,2.00
ROCKS,2.00
Ragin Cajun On Side,2.00
Ragin Lem Pep Mix,2.00
Rajin Cajuin Sprinkles,2.00
Rajin Cajun,2.00
Rajun Cajun,2.00
Ram Hat,2.00
Ranch And Blue C,2.00
Ranch Side,2.00
Ranchwater With Tajin Rim Pls,2.00
Rasberry Lemon Drop,2.00
Ravi,2.00
Red Onion,2.00
Red Sangria,2.00
Reg Bbq,2.00
Regular Bbq Sauce,2.00
Regular Lemonade,2.00
"Regular, Not Smoked",2.00
Repo Espresso,2.00
Repo Espresso Martini,2.00
Reprisado,2.00
Request Dana (:,2.00
Ricotta On The Side,2.00
Rob Roy,2.00
Rocks Glass Tajin Rim,2.00
Rocks Glass With Tajin,2.00
Roses,2.00
Royal Flush,2.00
Run Wild!!,2.00
Rye,2.00
Rye Doueble,2.00
S,2.00
S/o Honey Mustard,2.00
SALT RIM PLEASE FELIPE,2.00
SCRAM HARD,2.00
SD KETCHUP,2.00
SEAFOOD ALLERGY,2.00
SEND OUT FIRST,2.00
SESAME ALLERGY,2.00
SHOT,2.00
SHRIMP TACOS,2.00
SIDE BLEU CHEESE,2.00
SIDE MAYO !,2.00
SIDE MUSTARD,2.00
SIDE OF CARAMEL,2.00
SIDE OF MARINARA,2.00
SIDE YELLOW MUSTARD,2.00
SLIGHTLY SPICY,2.00
SMOKED OLD FASH,2.00
SMOKED OLD FASHIONED,2.00
SODA WATER,2.00
SPARKLING LEMONADA COCKTAIL,2.00
SPICY MAYO ON SIDE,2.00
SPICY QUESO ADD JALAPINO,2.00
SPICY RITA,2.00
SPICY RITA TAJIN RIM,2.00
SPICY W TAJIN RIM,2.00
SPICY WITH PICKLES NO OLIVES,2.00
SPLASH OF COKE,2.00
SPLASH cranberry,2.00
SPLIT IN HALF,2.00
SPRINKLE LEM PEP ON TERIYAKI,2.00
STRAWBERRY BASIL MULE,2.00
SUB Absolut Vodka,2.00
SUB BUFFALO CHICKEN,2.00
SUB Bombay Sapphire Gin,2.00
SUB CASAMIGO BLANCO,2.00
SUB CHEDDAR CHEESE,2.00
SUB CHICKEN NO PORK,2.00
SUB Chicken,2.00
SUB FOR LALO,2.00
SUB FRIES FOR ONION RINGS,2.00
SUB Fried,2.00
SUB Fried Shrimp,2.00
SUB GARLIC FRIES,2.00
SUB GROUND BEEF,1.00
SUB HONEY MUSTARD FOR RANCH,2.00
SUB IMPOSSIBLE MEAT,2.00
SUB JACK HONEY,2.00
SUB Knob Creek Rye,2.00
SUB MEZCAL TEQ,2.00
SUB MOZZERELLA,2.00
SUB Mozzerella,2.00
SUB PORK,2.00
SUB ROMAINE,2.00
SUB ROMAINE LETTUCE,2.00
SUB SWEET POT FRIES,2.00
SUB SWEET POTATOE,2.00
SUB SWEET POTATOE FRIES,2.00
SUB TITOS,2.00
SUB TRIPLE FOR BLUE CURACAO,2.00
SUB WRAP,2.00
SUB ceasar Wrap,2.00
SUB chicken,2.00
SUB fried,2.00
SUB grilled,2.00
SUNRISE,2.00
SWEET BABY RAYS,1.00
SWEET POTATO,2.00
SWEET POTATO FRIES NOT CRINKLE,2.00
SWEET POTATOE,2.00
S\O Hot Wing Sauce,2.00
S\\O Ranch,2.00
Sakt Rim,2.00
Salad Out First,2.00
Salsa On The Side,2.00
Salt And Lume,2.00
Salt Rim Please,2.00
"Salt Rim, & Lime",2.00
Salted Caramel Manhat,2.00
Salted Rim,2.00
Same As Last One Bbg,2.00
Sandwiches,2.00
Sauce & Toppings All On The Side,2.00
Sauce It Up,2.00
Sauce On Side!,2.00
Sauces On Side,2.00
Sausage On Half,2.00
Scallions On Side,2.00
Scramble W Cheese,2.00
Scrambled Hard,2.00
Screwdriver!!!!,2.00
Screwdriverr,2.00
Sd Bleu Cheese,2.00
Sd Boom Boom,2.00
Sd Boom Boom Sauce,2.00
Sd Bsb,2.00
Sd Caesar,2.00
Sd Cheese Curds,2.00
Sd Chili Crisp,2.00
Sd Closest Tk Bar,2.00
Sd Coleslaw,2.00
Sd Cowboy,2.00
Sd Garlic Parm,2.00
Sd Hot Sauce,2.00
Sd Jalapenos,2.00
Sd Lemon Ppr,2.00
Sd Malt Vin Aoli,2.00
Sd Must,2.00
Sd Nashville Hot,2.00
Sd Of Asian Chili Crisp,2.00
Sd Of Cran,2.00
Sd Of Hot,2.00
Sd Of Queso Pls,2.00
Sd Onion Rings,2.00
Sd Salsa,2.00
Sd Spicy Mustard,2.00
Sd Tap Salad,2.00
Sd Terriki Sauce,2.00
Sd Tots,2.00
Sde Tap,2.00
See Blake,2.00
Send Out First !,1.00
Separate Glass Ice,2.00
Seven And Seven,2.00
Sex O Da Beach,2.00
Sexon The Beach,2.00
Shaken Over Ice,2.00
She Is Diabetic,2.00
Shirley,2.00
Shredded Cheese,2.00
Shredded Parmesan on the side,2.00
Side,2.00
Side Aioli,2.00
Side Asian Chili Crisp,2.00
Side Bleu Chz,2.00
Side Boom Boom Sauce,2.00
Side Brussels,2.00
Side Buffalo Ranch,1.00
Side Cajun Fries,2.00
Side Car,2.00
Side Ceasar Salad,2.00
Side Chicken Ceaser,2.00
Side Chili Crisp Sauce,2.00
Side Cole,2.00
Side Cowboy,2.00
Side Hot Wing Sauce,2.00
Side Mustard And Mayo,2.00
Side Of BBQ,2.00
Side Of Bleu,2.00
Side Of Celery,2.00
Side Of Cesar Salad,2.00
Side Of Chili Crisp Sauce*,2.00
Side Of Cocktail,2.00
Side Of Cocktail Sauce,2.00
Side Of Garlic Butter,2.00
Side Of Garlic Parm Sauce,2.00
Side Of Green Onions,2.00
Side Of Hot Eing Sauce,2.00
Side Of Hot Wing Sauce!!,2.00
Side Of Hot Wing Sauce!!!!!!,2.00
Side Of Hot Wing Sauce!!!!!!!!!!,2.00
Side Of Jalepeno!!!!!!!!!!!,2.00
Side Of Lemon Pepper Seasoning,2.00
Side Of Lmon Pepper Rub,2.00
Side Of Mayo!!!!!!!!,2.00
Side Of Mozz Sticks,2.00
Side Of Nash Hot,2.00
Side Of Nashville Sauce,2.00
Side Of Pickled Red Onion,2.00
Side Of Poblano Sauce,2.00
Side Of Queso!!!!!!,2.00
Side Of Ragin Cajun,2.00
Side Of Red Sauce,2.00
Side Of Rwnch,2.00
Side Of Slaw,2.00
Side Of Sweet Baby Rays BBQ*,2.00
Side Of Teryaki,2.00
Side Of Thai Chili,2.00
Side Of Utah Sauce,2.00
Side Olive Oil,2.00
Side Poblano Sauce,2.00
Side Rajun Cajun,2.00
Side Rancg,2.00
Side Sweet Fries,2.00
Side Sweet Heat Bbq,2.00
Side Sweet Potato Fries,2.00
Side Tap Salad With Bleu Chz,2.00
Side Tater Tots,2.00
Side Terakayi,2.00
Side Thai Chili,2.00
Side Utah Sauce,2.00
Single Ice Cube,2.00
Single Rock,2.00
Skinng Marg,2.00
Skinny Marg NO SWEATNER,2.00
"Skinny Marg, No Tripple Sec",2.00
Skinny Please,2.00
Skinny Salt Rim,2.00
Skinny With Salt Rim,2.00
Skinny With Sugar Rim,2.00
Skinny!!!,2.00
Skiny Marg,2.00
Slat Rim,2.00
Slightly Dirty,2.00
Slightly Well Done,2.00
Small Salad,2.00
Small Side,2.00
Small Side Of Cheese Curds,2.00
Smoked D Fadion,2.00
Smoked Old Fachion,2.00
Smoked Old.fahion,2.00
Smores,2.00
Soda Splash Of Lime Juixe,2.00
Soda W Lemon,2.00
Soda W Orange,2.00
"Soda, Chains",2.00
"Soda, Litw Ice",2.00
Sour Cream,2.00
Sour Cream Only Ots,2.00
Sour Crm On Side,2.00
Spalsh Of Cranberry,2.00
Spash Of Grapefruit Juic,2.00
Spicy Mayo Ots,2.00
Spicy Rita/ Tajin Rim,3.00
Spicy W Titos,2.00
Spicy With Tajin Rim,2.00
Spicy!!!,2.00
Spicy!!!!!,2.00
Spicy!!!!!!,2.00
Spicyyyy,2.00
Splash Cran Juice,2.00
Splash Cran!!!!!,2.00
Splash Cran/ Clubbsoda,3.00
Splash Of Club Soda,2.00
Splash Of Cran and Ice,2.00
"Splash Of Cranberry, In A Wine Glass",2.00
Splash Of Olive Juice,2.00
Splash Of Pineapple Juice,2.00
Splash Of Pineappls,2.00
Splash Of Pinneapple In Martini Glass Chilled,2.00
Splash Of Soda,2.00
Splash Oj,2.00
"Splash Pineapple, Martini Glass",2.00
Splash RB,2.00
Splash Soda Water,2.00
Splash Water,2.00
Split Salad Into Two Plates Please💖,1.00
Splsh Cran,2.00
Splsh Tonic,2.00
Sprinkle Nashville On All Wings,2.00
Sprirte Cramb,2.00
Sprite Instead Of Coke,2.00
Sprite W/ 2 Limes,2.00
"Sprite. Lot Of Ice, Tall Glass 1 Lime",2.00
Spucy Rita,2.00
Squirt Of Lemon Juice,2.00
Starburst,2.00
Steak Med,2.00
Steak On Side,2.00
Steak Only,2.00
Steak Rare,2.00
Stout,2.00
StrWberey Lemondrop,2.00
Straw Lem Drop,2.00
Straw Peach Mocktini,2.00
Strawberrg Lemonade,2.00
Strawberry / Sugar Rim,2.00
Strawberry Mint Mule,2.00
Strawberry Peach Mocktini,2.00
Strawberry With A Sugar Rim,2.00
Strawberry!!!,2.00
Strawrita,2.00
Striped Shirt,2.00
Stupey Marietta,2.00
Sub 4 Brussel Sprouts,2.00
Sub 4 Ceaser Salad,2.00
Sub 4 Coleslaw,2.00
Sub 4 Roses,2.00
Sub 4 Side Ceaser,2.00
Sub All Meat For Burger,2.00
Sub Anteel Coconut,2.00
Sub Baby Rays,2.00
Sub Bacon,2.00
Sub Bacon Instead Of Pepperoni,2.00
Sub Bbq,2.00
Sub Beef,2.00
Sub Blueberry Flavor,2.00
Sub Bourbon,2.00
Sub Brussel Sprouts Side,2.00
Sub Brussel Sprouts!!!!!!!,2.00
Sub Brussell,2.00
Sub Brussell Sprouts Instead Of Chips,2.00
Sub Buffalo,2.00
Sub Caesar Dressing For Ranch,2.00
Sub Caesar For Chips,2.00
Sub Caesar For Mayo,2.00
Sub Casamigos Blanco,2.00
Sub Ceaser Salad,2.00
Sub Cheese Curds,2.00
Sub Chicken For Bacon,2.00
Sub Chicken For Brisket,2.00
Sub Chicken For Pork,2.00
Sub Chicken!!!!!!!!,2.00
Sub Chipotle Pineapple,2.00
Sub Chips And Salsa For Coleslaw,2.00
Sub Chips And Salsa For Colsesaw,2.00
Sub Chips And Salsa For Gilroy Fries,2.00
Sub Chips For Buffalo Cauliflower,2.00
Sub Chips For Caesar Salad,2.00
Sub Chips For French Fries,2.00
Sub Chips For Onion Rings,2.00
Sub Chips Garlic Fries,2.00
Sub Classic For Guava,2.00
Sub Cod,2.00
Sub Cole Slaw For Chips,2.00
Sub Coleslaw!!!!,2.00
Sub Crispy Chix,2.00
Sub Empress Cucumber,2.00
Sub Extra Taco,2.00
Sub For Steak,2.00
Sub Fried Chicken Toss In Buffalo,2.00
Sub Fried Chixken!!!,2.00
Sub Fried Pickles For Fries,2.00
Sub Fries As Side,2.00
Sub Fries For Brussel Sprouts,2.00
Sub Fries For Sweet Potato Fries,2.00
Sub Fry Chicken,2.00
Sub Garlic Butter Sauce,2.00
Sub Garlic Fries!!!!!!!,2.00
Sub Garlic Fries!!!!!!!!,2.00
Sub Garlic Parm,2.00
Sub Gilroy Ff,2.00
Sub Green Peppers,2.00
Sub Grilled Chicken!,2.00
Sub Guac,2.00
Sub Guac For Salsa,2.00
Sub Guava,2.00
Sub Hendrixt,2.00
Sub Impossible Patty!!!!!!!,2.00
Sub Lettuce,2.00
Sub Literally,2.00
Sub Loaded Tots,2.00
Sub Mango,2.00
Sub Marinara Sauce,2.00
Sub Michelob,2.00
Sub Mixed Greens Please!,2.00
Sub Mozz,2.00
Sub Mozz Sticks For Side,2.00
Sub Mozzerlla,2.00
Sub Mushrooms,2.00
Sub Onion And Cilantro,2.00
Sub Onion And Cilantro Inside,2.00
Sub Peach,2.00
Sub Pepperjack Chz,2.00
Sub Pepperjack For Cheddar,2.00
Sub Pepperocini,2.00
Sub Pickle Chips,2.00
Sub Pickled Red Onion,1.00
Sub Pickles,2.00
Sub Poblano,2.00
Sub Pork For Chicken,2.00
Sub Provolone,2.00
Sub Pulled Pork For Brisket,2.00
Sub Ranch,2.00
Sub Reg Mayo,2.00
Sub Regular Mayo,2.00
Sub Regular Tortilla Chips,2.00
Sub Repo Herradurra,2.00
Sub Romain,2.00
Sub Salsa For Queso,2.00
Sub Shredded Pepper Jack Cheese!!!,1.00
Sub Side Caesar Salad For Chips,2.00
Sub Side Ceasar,2.00
Sub Side Of Fries,2.00
Sub Side Tap With Balsamic,2.00
Sub Slaw,2.00
Sub Sliced Bread,2.00
Sub St Germain,2.00
Sub Steak For Brisket,2.00
Sub Strawberry*,2.00
Sub Sweet Fries,2.00
Sub Sweet Heat Bbq,2.00
Sub Sweet Heat For Regular Bbq,2.00
Sub Sweet Pot FF,2.00
Sub Sweet Potato Fries Please,2.00
Sub Sweet Potato Fries!!!!!,2.00
Sub Swt Fries,2.00
Sub Tap Salad W/ Honey Mustard,2.00
Sub Tap Salad With Balsamic,2.00
Sub Tap Salad With Ranch,2.00
Sub Tater Tots For Chips,2.00
Sub Tater Tots!!!!!!,2.00
Sub Tator Tots,2.00
Sub Tequilla,2.00
Sub Titos Use The Fine Strainer - Lillie,2.00
Sub Tomato Sauce,2.00
Sub Tots No Chips,2.00
Sub With Chicken,2.00
Sub Woodford,2.00
Sub Wrap,2.00
Sub crispy chicken,2.00
Substitute Buttermilk Ranch*,2.00
Sugar Free Redbull,2.00
Sugar Instead Of Tajine,2.00
Sugar On Rim Pls,2.00
Sugar Rim!!!,2.00
Sugar Rim!!!!,2.00
Sugarfree,2.00
Sun Lunazul,2.00
Sunglow,2.00
Sunny Side Up (1),2.00
Suntory Whisky Toki Double,2.00
Super Cold,2.00
Super Shaken,2.00
Superrrrr Crispy !!!,2.00
Surpise,2.00
Sweet,2.00
Sweet And Spicy Tajin Rim,2.00
Sweet Bbq On Side,2.00
Sweet Bbq Sauce,2.00
Sweet Heat Bbq,2.00
Sweet Pot Fries,2.00
Sweet Potato Fr,2.00
Sweet Potato Fri,2.00
Sweet Potato Frirs,2.00
Sweet Tea Mixer,2.00
Sweet Valentini,2.00
Sweeter If You Can,2.00
Swiss,2.00
Sx On The Beach,2.00
Sygar Rim,2.00
Syrup On Sde,2.00
TAKEOUT,2.00
TALL GLASS LOTTA ICE,2.00
TALL GLASS PLS,2.00
TEXAS. MARG,2.00
THANK YOU :),2.00
THE BLUE ONE,2.00
THE BOTTLE,2.00
THREE TACOS,2.00
TIKI HAZE,2.00
TO  GO,2.00
TO GO TO GO,2.00
TO GO!!,2.00
TO GOOOOOOO,2.00
TO GO🍽,2.00
TO GO💢,2.00
TOGO PLEASE,2.00
TOGOOOOO,2.00
"TONIC WATER, 2 LIMES",2.00
TOOO GOOOOOOOO,2.00
TOOOGOOOOO,2.00
TOOOGOOOOOOOO,2.00
TOOOO GOOO,2.00
TOOOOGOOOOOOOO,2.00
TOOOOOO GOOOOOOOOO,2.00
TOOOOOOO GOOOOOOOOO,2.00
TOOOOOOOOOOO GOOOOOOOOOO,2.00
TOSS CHIC IN HOT,2.00
TOSS FRIES IN SALT VIN,2.00
TOSS HOT SAUCE N TERIYAKI TOGETHER,1.00
TOSS IN BSB,2.00
TOSS IN BUFFALO,2.00
TOSS IN LEM PEP TOO,2.00
TOSS IN LEMON PEPPER,2.00
TOSS TOTS GARLIC PARM,2.00
TOSSED BUFFALO,2.00
TOTS OTS,2.00
Table 22,2.00
Tajin On The Classic,2.00
Tajin Rim With Lime Wedge,2.00
Tajin Rim!!!!,2.00
Tajn,2.00
Tall But Not Double,2.00
Tall Glass W/ Ice,2.00
Tall Glass!!!!!!,2.00
Tall Rocks Glass,2.00
Tap Marg,2.00
Tap Out Marg Pls,2.00
Tap Out Rita,2.00
Tapout Marg,2.00
Tater Tots Very Very Crispy,2.00
Taylor Swift Boyfriend,2.00
Taylor swift,2.00
Tbl 31,2.00
Tbl 42,2.00
Tenders Well Done,2.00
Tequila Espresso Martini,2.00
Teremana Repo,2.00
Teriyaki On Side,2.00
Teryaki,2.00
Texas Mule Dont Make,2.00
Texas Rita,2.00
Thin Glass,2.00
Titos And Soda Tall Glass No Fruit,2.00
Titos Mule,2.00
Tj,2.00
To Go Box Please,2.00
To Go Cup,2.00
To Go Please!,2.00
To Go Pls,2.00
To Gol,2.00
To Goo!,2.00
To Gooo!,2.00
To Goooooo,2.00
To Go💓,2.00
To Go💗,2.00
To-go,2.00
ToGo,2.00
Toast Wrap!,2.00
Toasted Rice Lager,2.00
Tog,2.00
Together,2.00
Togi,2.00
Togo Box,2.00
Togooo,2.00
Togoooo,2.00
Tomato Juice,2.00
Tomgo,2.00
Tonic No Lime,2.00
Tooo Gooo,2.00
Tooo Gooooooooo,2.00
Toooo Goooooooooo,2.00
Toooogoooooooo,2.00
Toooooo Goooooo,2.00
Top With Ginger Beer,2.00
Tortilla Crispy,2.00
Toss Cauliflower In Buff,1.00
Toss Chic In Buff,2.00
Toss Chicken In BSB And Ragin Cajun,2.00
Toss Chicken In Boom Boom,2.00
Toss Chicken In Garlic Parm,2.00
Toss Chicken In Nashville,2.00
Toss Chicken In Sweet Heat Bbq,2.00
Toss Chicken In Teriyaki,2.00
Toss Chx In Buffalo,2.00
Toss Fries In Lem Pep,2.00
Toss Fries In Rajun Canjub,2.00
Toss Grilled Chicken In Buffalo,2.00
Toss In Boom Boom And Lemon Pepper,2.00
Toss In Both,2.00
Toss In Buffalo Sauce,2.00
Toss In Buffalo Too,2.00
Toss In Cajun & Lemon Pepper,2.00
Toss In Cajun!!!!,2.00
Toss In Cowboy Sauce,2.00
Toss In Kbbq,2.00
Toss In Kor Bbq,2.00
Toss In Korean Bbq,2.00
Toss In Lemon Ppr,2.00
Toss In Poblano,2.00
Toss In Utah,2.00
Toss Rajin Cajun,2.00
Toss Salad In Dressing,2.00
Toss Shrimp In Hot Sauce,2.00
