MENU_ITEM_NAME,SUB_ITEM_QUANTITY
Add Brisket 4oz (FF and Tots)*,192.00
Boom Boom Wing Sauce TOSS,194.00
SUB Romaine/NO BUN*,195.00
Side of Buffalo Sauce*,193.00
No Lettuce,193.00
Strawberry,194.00
LIME,194.00
Lemon Pepper Dry Rub TOSS,190.00
Turkey Sausage,189.00
Add Bacon,184.00
Add Fresh Basil,183.00
No Sauce*,181.00
No Side,181.00
Well Done*,177.00
Add Ranch,172.00
Bleu Cheese Dressing NC,177.00
No Side*,177.00
Nashville Hot Dry Rub TOSS*,175.00
Hot Wing Sauce NC,171.00
Buffalo Sauce*,172.00
Tater Tots NC,170.00
Fries,169.00
Single Can,168.00
Sauce On The Side,163.00
Bleu Cheese*,162.00
NO Bun,163.00
Nashville Hot Dry Rub TOSS,162.00
Salt & Vinegar Dry Rub NC*,159.00
Green Tea Shot,179.00
No Shredded Parmesan Cheese*,157.00
Add Italian Sausage,156.00
Lemon Pepper Dry Rub TOSS*,156.00
Orange Slice,168.00
Add Bacon*,154.00
Lemon Slice,151.00
Mule,149.00
Garlic Parmesan Sauce NC,147.00
Bacardi Silver Rum DBL,150.00
Add Seasoned Grilled Chicken,143.00
Coke Zero,143.00
No Croutons,143.00
Asian Chili Crisp Sauce NC,141.00
Bleu Cheese,141.00
No Cheddar Cheese Slice,142.00
Water,139.00
Add Jalapeno Slices,141.00
Orange Juice,139.00
Pork Sausage Links,138.00
Add Cheddar Cheese*,137.00
No Sauce,136.00
Cauliflower Crust,136.00
Jalapeno On The Side,132.00
Sour,137.00
Add Brisket 4oz (FF and Tots),128.00
No Scallions*,133.00
Skinny,134.00
Add Fresh Basil (Pizza),131.00
Add Seasoned Grilled Chicken (Pizza),133.00
Sex On The Beach,132.00
Sub Blue Cheese Dressing NC,129.00
No Cheese,124.00
SUB Romaine/NO BUN,125.00
Korean BBQ Wing Sauce TOSS,123.00
Lemonade,127.00
Swiss Cheese*,121.00
Boom Boom Sauce,118.00
Short,122.00
NO Celery,114.00
Medium Rare,118.00
Asian Chili Crisp Sauce TOSS*,114.00
No Queso*,114.00
No Shredded Romaine*,115.00
Add Bleu Cheese,111.00
Add Pickle Chips,113.00
No Ricotta*,112.00
Guava,111.00
Light Ice,111.00
Martini,107.00
Add Red Onion,110.00
Dressing on the side,109.00
Sweet Heat BBQ Wing Sauce TOSS,110.00
Add Green Peppers,112.00
Boom Boom Wing Sauce TOSS*,108.00
Hot Wing Sauce TOSS*,106.00
Over Medium (2),107.00
Add Garlic Butter Sauce,107.00
Queso - NC - 1.5oz,108.00
Sweet Heat BBQ Sauce,101.00
Lemon Drop,197.00
No Dressing,103.00
Peach,103.00
Teriyaki Sauce NC,103.00
Add Grilled Mushrooms*,103.00
FRIED CHICKEN,102.00
Surfside Lemonade & Vodka can,86.00
Dirty Martini,101.00
Over Easy (2),100.00
Pickle On The Side*,100.00
ALL FLATS,99.00
No Spicy Mayo*,99.00
TO GOO,99.00
Glass,98.00
No Pepperoni*,97.00
No Rim,97.00
Tots,97.00
Add Strawberry,97.00
All Flats,95.00
Korean BBQ Wing Sauce TOSS*,95.00
Spicy,95.00
Tall Glass,95.00
No Chips,92.00
Margarita,91.00
Light Sauce,88.00
No Bacon Slices*,88.00
DONT MAKE,88.00
Dressing On Side,86.00
No Swiss Cheese*,83.00
Swiss Cheese,85.00
Add Chicken,82.00
Add Smoked Bacon,83.00
MIXED,81.00
Marg,86.00
No Cheddar Cheese Slices*,82.00
White Tea,123.00
Add Celery*,76.00
Add Onions,82.00
Sub Sweet Potato Fries,82.00
No Bun,81.00
Salt,83.00
TOOOO GOOOOOO,80.00
Bacon Slices On The Side*,78.00
No Ranch,78.00
Sweet Baby Rays BBQ Wing Sauce TOSS,79.00
No Scallions,78.00
Add Garlic Butter Sauce*,75.00
Bucket,111.00
Garlic Parmesan Sauce TOSS*,77.00
TOOO GOOOOO,77.00
TOOOO GOOOOO,77.00
Add Red Onion*,75.00
Cosmo,77.00
Extra Wet*,69.00
Fried Chicken,75.00
Add Smoked Bacon (Pizza),74.00
Prickly Pear,72.00
Vegas Bomb,77.00
Add Diced Tomatoes,71.00
Single,76.00
Skinny Marg,73.00
No Ricotta,72.00
Red Bull Sugar Free,71.00
Sub Fried Chicken,70.00
Add Jalapeno Slice*(8),70.00
Brown Sugar Bourbon Dry Rub TOSS,71.00
Caesar,70.00
Coleslaw On The Side*,68.00
Side of Cowboy Sauce*,65.00
Add Hot Honey,68.00
No Balsamic*,68.00
Onion Cilantro Mix On The Side*,67.00
Splash Of Cran,68.00
Lemon Drop Martini,68.00
Sweet Heat BBQ Wing Sauce TOSS*,67.00
Add Cheddar Cheese,66.00
Add Jalapenos,66.00
Cut In Half,64.00
Sour Cream On The Side*,62.00
Sub Fries,66.00
Add Caesar Dressing*,66.00
FLIGHT,61.00
Sub Tots,63.00
No Bacon,61.00
Sub Chicken,62.00
Add Grilled Chicken,61.00
D,61.00
Sweet Potato Fries,61.00
Add Tomato,60.00
No Mushrooms,60.00
Ranch,58.00
Add Shredded Pepper Jack Cheese 2oz*,59.00
Onion On The Side*,56.00
Xtra Crispy,57.00
Korean BBQ Sauce,58.00
No Salsa,56.00
No Shredded Parmesan Cheese,57.00
No Caesar Dressing*,56.00
Add Diced Tomatoes (Pizza),55.00
Add Jalapeno,55.00
Grilled,52.00
No Chips Sub Fries,54.00
No Nashville Hot Seasoning*,55.00
Pickle On The Side,54.00
Add Lettuce,53.00
No Onion Rings*,53.00
Ranch On Side,50.00
TOGOOO,53.00
Add Lemon Pepper,51.00
Bloody Mary,51.00
Caesar*,52.00
Light Cheese,50.67
No Mushroom,52.00
Tomato On The Side*,52.00
Mayonnaise On The Side*,51.00
White Tea Shot,55.00
Manhattan,53.00
Over Hard (2),50.00
SWEET FRIES,50.00
Tajin,50.00
Takeout,50.00
Add Shredded Pepper Jack Cheese,49.00
Bacon**,49.00
Fries Extra Crispy,49.00
No Buffalo Sauce*,49.00
No Onion Rings,49.00
No Poblano Sauce,50.00
No Spicy Mayo,49.00
Side of Hot Wing Sauce*,49.00
Side of Korean BBQ Sauce*,50.00
Splash Of Pineapple,49.00
Extra Wet,48.00
Grapefruit Juice,49.00
Hot Wing Sauce,49.00
No Basil,48.00
No Korean BBQ Sauce*,48.00
No Slaw,48.00
Add Ranch Dressing*,43.00
